GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TiKV Java Client,default,MySqlParser.ExpressionAtomContext,20,0,0,0,3,0,4,0,4,0
TiKV Java Client,default,MySqlParser.GetFormatFunctionCallContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.CharsetNameBaseContext,225,0,0,0,45,0,45,0,45,0
TiKV Java Client,default,MySqlParser.NotExpressionContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.IsExpressionContext,50,0,0,0,10,0,10,0,10,0
TiKV Java Client,default,MySqlParser.ValuesFunctionCallContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.FunctionArgsContext,65,0,0,0,13,0,13,0,13,0
TiKV Java Client,default,MySqlParser.PositionFunctionCallContext,50,0,0,0,10,0,10,0,10,0
TiKV Java Client,default,MySqlParser.LevelsInWeightStringContext,20,0,0,0,3,0,4,0,4,0
TiKV Java Client,default,MySqlParser.SimpleIdContext,55,0,0,0,11,0,11,0,11,0
TiKV Java Client,default,MySqlParser.LevelInWeightListElementContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.ConstantContext,70,0,0,0,14,0,14,0,14,0
TiKV Java Client,default,MySqlParserBaseListener,755,0,0,0,151,0,151,0,151,0
TiKV Java Client,default,MySqlParser.ScalarFunctionNameContext,140,0,0,0,28,0,28,0,28,0
TiKV Java Client,default,MySqlParser.IntervalExpressionAtomContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.LengthOneDimensionContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.DecimalLiteralContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.LogicalExpressionContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.TrimFunctionCallContext,65,0,0,0,13,0,13,0,13,0
TiKV Java Client,default,MySqlParser.InPredicateContext,40,0,0,0,8,0,8,0,8,0
TiKV Java Client,default,MySqlParser.SpecificFunctionContext,20,0,0,0,3,0,4,0,4,0
TiKV Java Client,default,MySqlParser.BetweenPredicateContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.FunctionCallContext,20,0,0,0,3,0,4,0,4,0
TiKV Java Client,org.tikv.common.log,SlowLogEmptyImpl,3,7,0,0,3,2,3,2,3,2
TiKV Java Client,org.tikv.common.log,SlowLogImpl,0,183,4,10,0,37,4,10,0,7
TiKV Java Client,org.tikv.common.log,SlowLogSpanEmptyImpl,5,6,0,0,2,2,2,2,2,2
TiKV Java Client,org.tikv.common.log,SlowLogSpanImpl,6,91,4,4,3,21,4,7,0,7
TiKV Java Client,org.tikv.common.predicates,TiKVScanAnalyzer.TiKVScanPlan,62,0,4,0,19,0,12,0,10,0
TiKV Java Client,org.tikv.common.predicates,IndexRange,44,0,4,0,9,0,8,0,6,0
TiKV Java Client,org.tikv.common.predicates,ScanSpec.Builder,217,0,18,0,54,0,15,0,6,0
TiKV Java Client,org.tikv.common.predicates,PredicateUtils,314,0,34,0,70,0,24,0,7,0
TiKV Java Client,org.tikv.common.predicates,ScanSpec,21,0,0,0,8,0,4,0,4,0
TiKV Java Client,org.tikv.common.predicates,SelectivityCalculator,43,0,6,0,11,0,6,0,3,0
TiKV Java Client,org.tikv.common.predicates,TiKVScanAnalyzer,843,0,116,0,199,0,74,0,16,0
TiKV Java Client,org.tikv.common.predicates,PredicateUtils.new DefaultVisitor() {...},9,0,0,0,3,0,2,0,2,0
TiKV Java Client,org.tikv.common.predicates,TiKVScanAnalyzer.TiKVScanPlan.Builder,251,0,16,0,62,0,23,0,14,0
TiKV Java Client,org.tikv.common.pd,PDError.ErrorType,24,0,0,0,3,0,1,0,1,0
TiKV Java Client,org.tikv.common.pd,PDError.RegionPeerNotElected,17,0,0,0,6,0,2,0,2,0
TiKV Java Client,org.tikv.common.pd,PDUtils,3,57,0,4,1,8,1,5,1,3
TiKV Java Client,org.tikv.common.pd,PDError,56,0,0,0,15,0,9,0,9,0
TiKV Java Client,org.tikv.common.pd,PDError.Builder,34,0,0,0,10,0,5,0,5,0
TiKV Java Client,org.tikv.common.operation,KVErrorHandler,82,54,5,5,20,17,5,5,2,3
TiKV Java Client,org.tikv.common.operation,SchemaInfer,95,0,8,0,23,0,11,0,7,0
TiKV Java Client,org.tikv.common.operation,RegionErrorHandler,501,110,44,10,95,28,28,8,3,6
TiKV Java Client,org.tikv.common.operation,PDErrorHandler,69,56,9,6,15,17,8,5,0,5
TiKV Java Client,org.tikv.common.operation,NoopHandler,7,0,0,0,3,0,3,0,3,0
TiKV Java Client,org.tikv.common.event,CacheInvalidateEvent,139,0,14,0,32,0,18,0,11,0
TiKV Java Client,org.tikv.common.event,CacheInvalidateEvent.CacheType,34,0,0,0,4,0,1,0,1,0
TiKV Java Client,org.tikv.txn.exception,WriteConflictException,27,0,0,0,4,0,1,0,1,0
TiKV Java Client,org.tikv.txn.exception,LockException,9,0,0,0,4,0,2,0,2,0
TiKV Java Client,org.tikv.txn.exception,TxnNotFoundException,3,0,0,0,1,0,1,0,1,0
TiKV Java Client,deadlock,DeadlockGrpc.new AbstractStub.StubFactory() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockGrpc.new AbstractStub.StubFactory() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockGrpc.new AbstractStub.StubFactory() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockGrpc.MethodHandlers,36,0,4,0,12,0,5,0,3,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntriesResponse,418,0,41,0,113,0,59,0,38,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntry.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockOuterClass.WaitForEntry.Builder,253,0,16,0,80,0,39,0,31,0
TiKV Java Client,deadlock,DeadlockGrpc.DeadlockBlockingStub,20,0,0,0,5,0,3,0,3,0
TiKV Java Client,deadlock,DeadlockOuterClass.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},8,0,0,0,3,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockRequest.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
TiKV Java Client,deadlock,DeadlockGrpc,140,0,12,0,48,0,12,0,6,0
TiKV Java Client,deadlock,DeadlockGrpc.DeadlockStub,30,0,0,0,8,0,4,0,4,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockResponse.Builder,380,0,44,0,111,0,56,0,34,0
TiKV Java Client,deadlock,DeadlockOuterClass.DeadlockResponse.new AbstractParser() {...},10,0,0,0,2,0,2,0,2,0
